dict_code,dict_name,iterm_value,iterm_name,sort
bpm-audit-status,bpm审批状态,0,待提交,0
bpm-audit-status,bpm审批状态,1,审批中,1
bpm-audit-status,bpm审批状态,2,已完成,2
bpm-audit-status,bpm审批状态,3,已驳回,3
bpm-audit-status,bpm审批状态,4,已撤回,4
C_GO_hmqf23r4hm,活动类型,C_GOI_xvfusggibz,展会,0
C_GO_hmqf23r4hm,活动类型,C_GOI_acsbmca7f9,培训,1
C_GO_hmqf23r4hm,活动类型,C_GOI_iykib9b88s,发布会,2
C_GO_hmqf23r4hm,活动类型,C_GOI_whznis26wg,路演,3
C_GO_hmqf23r4hm,活动类型,C_GOI_fnez3b7swp,Open Day,4
C_GO_hmqf23r4hm,活动类型,C_GOI_inyb5xj1e1,广告投放,5
C_GO_hmqf23r4hm,活动类型,C_GOI_c6pr7jmk3v,KoL,6
C_GO_hmqf23r4hm,活动类型,C_GOI_f0arc8gmv8,媒体广告,7
C_GO_mfrbnnvnsq,举办方式,C_GOI_eal2okwncv,线下,0
C_GO_mfrbnnvnsq,举办方式,C_GOI_iv1r78qwwi,线上,1
C_GO_dhv4pe23l1,国家地区,C_GOI_pvw3ptz6vy,中国,0
C_GO_dhv4pe23l1,国家地区,C_GOI_imst2mt58u,江苏,0
C_GO_dhv4pe23l1,国家地区,C_GOI_ehxn64j9vd,上海,1
C_GO_dhv4pe23l1,国家地区,C_GOI_jo4qutavb3,北京,2
C_GO_dhv4pe23l1,国家地区,C_GOI_je9jxdvn80,广东,3
C_GO_dhv4pe23l1,国家地区,C_GOI_lye77rvw23,深圳,4
C_GO_dhv4pe23l1,国家地区,C_GOI_lp9zs87stf,欧洲,1
C_GO_dhv4pe23l1,国家地区,C_GOI_uhdscdy0d4,英国,0
C_GO_dhv4pe23l1,国家地区,C_GOI_wwqywd2mla,瑞士,1
C_GO_dhv4pe23l1,国家地区,C_GOI_yysgk8dlya,德国,2
C_GO_dhv4pe23l1,国家地区,C_GOI_cseq1yq8gt,西班牙,3
C_GO_rfw1awze5d,人员规模,C_GOI_zy2ljv0axx,10人以内,0
C_GO_rfw1awze5d,人员规模,C_GOI_yz2178r5ah,10-50,1
C_GO_rfw1awze5d,人员规模,C_GOI_s0bh69o2l3,50-100,3
C_GO_rfw1awze5d,人员规模,C_GOI_b8h7035emm,100-500,4
C_GO_rfw1awze5d,人员规模,C_GOI_hw1h9y776q,500-1000,5
C_GO_rfw1awze5d,人员规模,C_GOI_rl1vi9nu8t,1000-5000,6
C_GO_rfw1awze5d,人员规模,C_GOI_ivv8fr0iu4,5000-10000,7
C_GO_rfw1awze5d,人员规模,C_GOI_vjnnmx93yw,10000以上,8
C_GO_vavfzq0xsr,推广渠道,C_GOI_s30ijv4f05,官网,0
C_GO_vavfzq0xsr,推广渠道,C_GOI_ekxcx7pscf,公众号,1
C_GO_vavfzq0xsr,推广渠道,C_GOI_jrb5hgllle,邮件,2
C_GO_vavfzq0xsr,推广渠道,C_GOI_h33kmx4urs,在线客服,3
C_GO_bl9kwqk2au,成员状态,C_GOI_hcz7arob5d,已邀请,0
C_GO_bl9kwqk2au,成员状态,C_GOI_dfmfxsyej0,已回复,1
C_GO_bl9kwqk2au,成员状态,C_GOI_mc9jhakv1f,已报名,2
C_GO_bl9kwqk2au,成员状态,C_GOI_t742wxgqt2,已签到,3
C_GO_bl9kwqk2au,成员状态,C_GOI_o2sow7dxqn,已留资,4
C_GO_h9vfwu6nlu,分发渠道,C_GOI_tzgib3gpfb,抖音,0
C_GO_h9vfwu6nlu,分发渠道,C_GOI_ye7xm2elfk,facebook,1
C_GO_yaz85n6xn8,所在区域,C_GOI_ew7ngsk6dh,华东,0
C_GO_yaz85n6xn8,所在区域,C_GOI_em6lw0lmki,华南,1
C_GO_yaz85n6xn8,所在区域,C_GOI_ude8gc3x8z,华北,2
C_GO_stu76c0w6w,费用项,C_GOI_gvrxqx63as,差旅费,0
C_GO_stu76c0w6w,费用项,C_GOI_azji9w5uys,住宿费,1
C_GO_stu76c0w6w,费用项,C_GOI_xpu4ryi8a1,礼品费,2
C_GO_stu76c0w6w,费用项,C_GOI_gh6eqffgko,场地费,3
C_GO_stu76c0w6w,费用项,C_GOI_nzfrrnj3od,物料费,4
C_GO_stu76c0w6w,费用项,C_GOI_w1zpctkdrz,其他,5
C_GO_i7r3gju4nu,市场活动成员类型,C_GOI_q9ylx1zp65,线索,0
C_GO_i7r3gju4nu,市场活动成员类型,C_GOI_v7lgzo2925,联系人,1
C_GO_cigzd0lqhp,测试,C_GOI_dffs7s959m,1,0
C_GO_cigzd0lqhp,测试,C_GOI_dlboczqmyf,1.1,0
C_GO_cigzd0lqhp,测试,C_GOI_mq39u1keib,2,1
C_GO_cigzd0lqhp,测试,C_GOI_icuf75r3hv,2.1,0
C_GO_aixmqk0j8g,销售单位,C_GOI_cbgonvwc7h,件,0
C_GO_rowcq041pl,邀请结果,C_GOI_by5wo89qvc,确认参加,0
C_GO_rowcq041pl,邀请结果,C_GOI_ofbobwzfwq,无法参加,1
userSex,性别,man,男,0
userSex,性别,woman,女,1
userOnPostStatus,在职状态,onPost,在职,0
userOnPostStatus,在职状态,depart,离职,1
userEnableStatus,启用状态,enabled,启用,0
C_GO_rowcq041pl,邀请结果,C_GOI_zhy7dlq8qo,待定,2
C_GO_qaz0tmap2s,表单语言,C_GOI_xddnnnk2h6,中文,0
C_GO_qaz0tmap2s,表单语言,C_GOI_i9rophsgv6,英文,1
C_GO_qaz0tmap2s,表单语言,C_GOI_vo2ojr10mb,德语,2
C_GO_qaz0tmap2s,表单语言,C_GOI_zpnmm3cq51,意大利语,3
C_GO_qaz0tmap2s,表单语言,C_GOI_wmhjbv32kr,西班牙语,4
C_GO_ol4qu4695c,业务类型,C_GOI_rhtanzwoin,内部人员,0
C_GO_ol4qu4695c,业务类型,C_GOI_cqez2kezxw,外部人员,1
C_GO_s5i2xv2al0,部门类型,C_GOI_fzpf5lmqd7,内部部门,0
C_GO_s5i2xv2al0,部门类型,C_GOI_t51f9n49si,外部部门,1
C_GO_cigzd0lqhp,测试,C_GOI_dwiur6q8wk,3,2
C_GO_cigzd0lqhp,测试,C_GOI_yjv804g02t,4,3
C_GO_cigzd0lqhp,测试,C_GOI_dwiur6q8wf,3.1,0
C_GO_cigzd0lqhp,测试,C_GOI_xz1yv3fh5b,3.2,1
C_GO_h9tpyr70h7,3级,C_GOI_hpfw3vsl1l,1,0
C_GO_h9tpyr70h7,3级,C_GOI_vxwdu18w58,1.1,0
C_GO_h9tpyr70h7,3级,C_GOI_tosia1vihf,1.1.1,0
C_GO_h9vfwu6nlu,分发渠道,C_GOI_oq0oomk4ug,默认渠道,2
C_GO_h9vfwu6nlu,分发渠道,C_GOI_iau8uuao11,Youtube,3
C_GO_vavfzq0xsr,推广渠道,C_GOI_zwuysv234s,默认渠道,5
userEnableStatus,启用状态,disabled,停用,1
C_GO_c0rr1phh9e,产品类型,C_GOI_l239z3mz6z,产品,0
C_GO_c0rr1phh9e,产品类型,C_GOI_l31t1uwav7,虚拟服务,1
C_GO_emg42cv1o4,角色,C_GOI_neg2ik0fhr,执行人,0
C_GO_emg42cv1o4,角色,C_GOI_d56on67yjc,决策人,1
C_GO_emg42cv1o4,角色,C_GOI_xb5ver4a93,影响人,2
C_GO_emg42cv1o4,角色,C_GOI_uedkrp5mzv,未知,3
C_GO_n2m30yjggo,合同状态,C_GOI_zb01v15wtf,未生效,0
C_GO_n2m30yjggo,合同状态,C_GOI_q856n4nsut,已生效,1
C_GO_contract status,,C_GOI_e4ikyxkpu2,未生效,0
C_GO_contract status,,C_GOI_i81nws1b69,已生效,1
C_GO_timezone,时区,UTC-12,(UTC-12)国际换日线,0
C_GO_timezone,时区,UTC-11,(UTC-11)中途岛、萨摩亚群岛,1
C_GO_timezone,时区,UTC-10,(UTC-10)夏威夷,2
C_GO_timezone,时区,UTC-09,(UTC-09)阿拉斯加,3
C_GO_timezone,时区,UTC-08,(UTC-08)太平洋时间（美国和加拿大）,4
C_GO_timezone,时区,UTC-07,(UTC-07)山地时间（美国和加拿大）,5
C_GO_timezone,时区,UTC-06,(UTC-06)中部时间（美国和加拿大）,6
C_GO_timezone,时区,UTC-05,(UTC-05)东部时间（美国和加拿大）,7
C_GO_timezone,时区,UTC-04,(UTC-04)大西洋时间（加拿大）,8
C_GO_timezone,时区,UTC-03,(UTC-03)巴西、布宜诺斯艾利斯、乔治敦,9
C_GO_timezone,时区,UTC-02,(UTC-02)中大西洋,10
C_GO_timezone,时区,UTC-01,(UTC-01)亚速尔群岛、佛得角群岛,11
C_GO_timezone,时区,UTC,(UTC)伦敦、 都柏林、 里斯本、 CASABLANCA,12
C_GO_timezone,时区,UTC+01,(UTC+01)阿姆斯特丹、 柏林、 伯尔尼、 罗马、 斯特德、 维也纳,13
C_GO_timezone,时区,UTC+02,(UTC+02)雅典、 伊斯坦布尔、 耶路撒冷,14
C_GO_timezone,时区,UTC+03,(UTC+03)巴格达、 科威特、 马斯喀特,15
C_GO_timezone,时区,UTC+04,(UTC+04)贝鲁特、 莫斯科、 圣彼得堡、 伏尔加格勒,16
C_GO_timezone,时区,UTC+05,(UTC+05)伊斯兰堡、 卡拉奇、 塔什干,17
C_GO_timezone,时区,UTC+06,(UTC+06)阿拉木图、 新西伯利亚,18
C_GO_timezone,时区,UTC+07,(UTC+07)曼谷、 河内 、 雅加达,19
C_GO_timezone,时区,UTC+08,(UTC+08)北京标准时间,20
C_GO_timezone,时区,UTC+09,(UTC+09)东京标准时间,21
C_GO_timezone,时区,UTC+10,(UTC+10)符拉迪沃斯托克,22
C_GO_timezone,时区,UTC+11,(UTC+11)索罗门群岛,23
C_GO_timezone,时区,UTC+12,(UTC+12)惠灵顿、 富克岛,24
C_GO_timezone,时区,UTC+13,(UTC+13)菲尼克斯群岛标准时间,25
C_GO_timezone,时区,UTC+14,(UTC+14)莱恩群岛标准时间,26
C_GO_n2m30yjggo,合同状态,C_GOI_y7ycm4v6tw,已作废,2
C_GO_tack0suy44,通用业务,c_contract,合同,0
C_GO_payment_stage,回款阶段,C_GOI_full_payment,全款,0
C_GO_payment_stage,回款阶段,C_GOI_deposit_payment,尾款,1
C_GO_payment_stage,回款阶段,C_GOI_instalment_payment,分期付款,2
C_GO_r4em0u5mn9,职务,C_GOI_a44t4o0tf4,总经理,0
C_GO_v78mvritzy,客户于合作方向所属BU,C_GOI_ef5meuqpl0,品牌数字BU,0
C_GO_dxi09u3tsq,阶段,C_GOI_gzucbt0qsl,第一阶段,0
C_GO_c10ywled39,联系状态,C_GOI_ye6b2cpdom,状态1,0
C_GO_oa0ue38blv,客户类型,C_GOI_rxv9yfi329,KA-重点客户,0
C_GO_oa0ue38blv,客户类型,C_GOI_lvtkne4lh2,RKA-零售重点客户,1
C_GO_oa0ue38blv,客户类型,C_GOI_ujegh5sybc,小RKA-区域零售重点客户,2
C_GO_oa0ue38blv,客户类型,C_GOI_x780oscmea,SMB-中小型企业客户,3
C_GO_r72s7jezl0,业务分类,C_GOI_yqtzx0rcqp,1.0业务,0
C_GO_r72s7jezl0,业务分类,C_GOI_gdxq9m3wjh,2.0业务,1
C_GO_gjapt5px8s,商机类型,C_GOI_yot51dqxmq,产品类,0
C_GO_gjapt5px8s,商机类型,C_GOI_r1wgvi7uqk,服务类,1
C_GO_suuq7m5r6l,产品细分类别,C_GOI_yh0cnt7y69,类别1,0
C_GO_suuq7m5r6l,产品细分类别,C_GOI_bdjsn88dve,类别2,1
C_GO_ji6smvec6u,商机标签,C_GOI_uyu7enstqd,老客旧商机,0
C_GO_ji6smvec6u,商机标签,C_GOI_y86bnc3lsu,老客新商机,1
C_GO_ji6smvec6u,商机标签,C_GOI_di2tx7g0jh,新客新商机,2
C_GO_yaz85n6xn8,所在区域,C_GOI_hkvasaxy8t,华中,3
C_GO_lfwg9lc2if,竞争对手类型,C_GOI_y2hssmkfae,类型1,0
C_GO_lfwg9lc2if,竞争对手类型,C_GOI_wxzkbyqw9v,类型2,1
C_GO_k2zwjw10tp,业态,C_GOI_pvr7t2hu7l,购物中心,0
C_GO_k2zwjw10tp,业态,C_GOI_vc8kj1kz32,超市,1
C_GO_k2zwjw10tp,业态,C_GOI_m7kxw1p5mh,食品,2
C_GO_k2zwjw10tp,业态,C_GOI_yur2muvd3p,医药,3
C_GO_k2zwjw10tp,业态,C_GOI_vnhwwo5zie,农业,4
C_GO_k2zwjw10tp,业态,C_GOI_msb8kbh7ij,餐饮,5
C_GO_k2zwjw10tp,业态,C_GOI_bdjlir4w12,酒店,6
C_GO_k2zwjw10tp,业态,C_GOI_j9pd8cs7bz,便利店,7
C_GO_k2zwjw10tp,业态,C_GOI_m5puc2qgb4,休闲娱乐,8
C_GO_k2zwjw10tp,业态,C_GOI_fwizabd29g,百货,9
C_GO_k2zwjw10tp,业态,C_GOI_pw32f6onx0,快印,10
C_GO_k2zwjw10tp,业态,C_GOI_dlktg0djzv,旅游,11
C_GO_k2zwjw10tp,业态,C_GOI_kks14r3s71,数码通信,12
C_GO_k2zwjw10tp,业态,C_GOI_nxqir0te5x,互联网,13
C_GO_k2zwjw10tp,业态,C_GOI_xn5grjin5f,汽车维护保养,14
C_GO_k2zwjw10tp,业态,C_GOI_tr9u1fzks9,服装,15
C_GO_k2zwjw10tp,业态,C_GOI_rwn6nq4ife,教育,16
C_GO_k2zwjw10tp,业态,C_GOI_mpaj84ofhs,健身,17
C_GO_k2zwjw10tp,业态,C_GOI_o2h9mymaqt,书店,18
C_GO_k2zwjw10tp,业态,C_GOI_n0tejolp8r,化妆品,19
C_GO_k2zwjw10tp,业态,C_GOI_f1fj2nyrdr,家居,20
C_GO_k2zwjw10tp,业态,C_GOI_m09c0urj76,母婴,21
C_GO_k2zwjw10tp,业态,C_GOI_pqea15augv,珠宝,22
C_GO_k2zwjw10tp,业态,C_GOI_uj79ndixvg,文具,23
C_GO_k2zwjw10tp,业态,C_GOI_zl5zxtlsog,美容,24
C_GO_k2zwjw10tp,业态,C_GOI_wche82wccl,乐园,25
C_GO_k2zwjw10tp,业态,C_GOI_p97jsnaaxn,电器,26
C_GO_k2zwjw10tp,业态,C_GOI_elmck9tw80,干洗店,27
C_GO_k2zwjw10tp,业态,C_GOI_cmr3sy301c,机场商业,28
C_GO_k2zwjw10tp,业态,C_GOI_f69cjc901f,物流,29
C_GO_k2zwjw10tp,业态,C_GOI_mf4ofv17ro,影院,30
C_GO_k2zwjw10tp,业态,C_GOI_mgc9myilbz,综合,31
C_GO_k2zwjw10tp,业态,C_GOI_lv237m7886,其他,32
C_GO_oa0ue38blv,客户类型,C_GOI_qhewv9aeli,合作伙伴,4
C_GO_oa0ue38blv,客户类型,C_GOI_j4mojaol5q,其他,5
C_GO_yaz85n6xn8,所在区域,C_GOI_q238zn99cx,西南,4
C_GO_yaz85n6xn8,所在区域,C_GOI_o9quixf41v,东北,5
C_GO_yaz85n6xn8,所在区域,C_GOI_wsf1cf233x,全国,6
GO_wechat_customer_type,企微-客户类型,GOI_1,微信,0
GO_wechat_customer_type,企微-客户类型,GOI_2,企微,1
GO_wechat_customer_type,企微-客户类型,GOI_3,其他,2
GO_wechat_gender,企微-性别,GOI_0,未知,0
GO_wechat_gender,企微-性别,GOI_1,男,1
